source,interaction,target,cor,cor_sign
T009515,---,T009516,0.834769846066467,+
T009515,---,T025683,0.751407247362136,+
T009515,---,T032201,0.717949265724685,+
T009515,---,T088658,0.578440263747606,+
T009515,---,T094283,0.776629800741763,+
T009515,---,T150659,0.606565806440474,+
T009515,---,T162363,0.692315148671425,+
T009516,---,T025683,0.706986382736234,+
T009516,---,T094283,0.749154395260841,+
T009516,---,T150659,0.593777366360655,+
T025683,---,T032201,0.740029858601971,+
T025683,---,T088658,0.588898004050312,+
T025683,---,T094283,0.762106790889991,+
T025683,---,T150659,0.573614796571875,+
T025683,---,T162363,0.697079330193628,+
T032201,---,T054717,0.699884422290296,+
T032201,---,T088658,0.606844535216266,+
T032201,---,T094283,0.74018498742566,+
T032201,---,T095006,0.71366529764031,+
T032201,---,T162363,0.69906058073782,+
T054717,---,T094283,0.628600862892923,+
T054717,---,T095006,0.688889927755236,+
T054717,---,T150659,0.560082358248411,+
T054717,---,T162363,0.620549447077513,+
T094283,---,T150659,0.605583411584046,+
T094283,---,T162363,0.701209161163721,+
T095006,---,T150659,0.57258111134407,+
T095006,---,T162363,0.645114307819856,+
