source,interaction,target,cor,cor_sign
T000094,---,T000978,0.240256153802907,+
T000094,---,T019717,-0.180825861397694,-
T000094,---,T027208,0.204439225557798,+
T000094,---,T084866,0.255775679463906,+
T000094,---,T091834,0.345271470334708,+
T000094,---,T108651,0.245812855860302,+
T000094,---,T134106,0.106423648049825,+
T000094,---,T161513,0.22362132104502,+
T000094,---,T166622,0.23732235788934,+
T000094,---,T182931,0.0893324055858847,+
T000094,---,T189297,0.247515664287624,+
T000106,---,T053695,0.36338979581264,+
T000106,---,T069033,-0.218521968964786,-
T000106,---,T095839,-0.37178278902538,-
T000106,---,T108400,0.299496271591597,+
T000106,---,T126785,0.307099199170854,+
T000106,---,T132570,0.297089838378395,+
T000394,---,T008481,0.427159830734419,+
T000394,---,T032687,0.631395293273504,+
T000394,---,T133319,0.467037319919452,+
T000394,---,T134944,-0.469800096190585,-
T000394,---,T192388,0.407240853964197,+
T000456,---,T011263,0.219755596594813,+
T000456,---,T013678,0.371582090563773,+
T000456,---,T014852,0.435119551792331,+
T000456,---,T093775,-0.398905229853886,-
T000456,---,T096007,0.41459007419781,+
T000456,---,T100486,0.363437239823795,+
T000456,---,T123698,0.38598532556121,+
T000456,---,T150934,0.502788224159302,+
T000456,---,T192978,0.520126282063315,+
T000978,---,T077777,0.302126161300298,+
T000978,---,T084866,0.259572286079632,+
T000978,---,T146358,0.299774680020656,+
T000978,---,T162139,-0.23694348659611,-
T000978,---,T199607,0.344782438735693,+
T001374,---,T051739,0.394497999296882,+
T001374,---,T099720,-0.240919564270765,-
T001374,---,T128720,-0.455231652762918,-
T001374,---,T134106,0.395633792652506,+
T001374,---,T136046,0.434228476034852,+
T001374,---,T136583,0.427156648793934,+
T001374,---,T145188,0.366884901766933,+
T001800,---,T001802,0.257017703344683,+
T001800,---,T032903,0.357356362382186,+
T001800,---,T055908,0.246726619326751,+
T001800,---,T083587,0.223251955194979,+
T001800,---,T085528,0.226740051792431,+
T001800,---,T117589,0.249830867140638,+
T001800,---,T126067,0.228102294814692,+
T001800,---,T190037,0.274129743920653,+
T001802,---,T005308,0.461968377328221,+
T001802,---,T008662,0.294872606001325,+
T001802,---,T020140,0.408688815359379,+
T001802,---,T042185,0.213005327367544,+
T001802,---,T069374,-0.246821516922868,-
T001802,---,T178599,0.282352742671596,+
T001812,---,T021830,0.102275783742336,+
T001812,---,T068972,0.349810544267342,+
T001812,---,T098885,0.234448184177172,+
T001812,---,T099720,0.0865972490879528,+
T001812,---,T134641,0.212211953302649,+
T001812,---,T175029,0.403723604463505,+
T001813,---,T007721,0.30657318460492,+
T001813,---,T083761,-0.322767580534329,-
T001813,---,T091502,0.30369736733633,+
T001813,---,T121954,0.315810157689539,+
T001813,---,T178599,0.153902856039844,+
T001813,---,T182256,-0.529105515226942,-
T001813,---,T182667,0.449190806386131,+
T001938,---,T001939,0.364158224424977,+
T001938,---,T005963,0.320999673689086,+
T001938,---,T007602,0.433627982452243,+
T001938,---,T014852,-0.15110608751656,-
T001938,---,T025057,0.28632335923974,+
T001938,---,T034486,0.42569791036622,+
T001938,---,T053330,0.449375821656063,+
T001938,---,T077777,-0.34799946423839,-
T001938,---,T136648,0.338032516848513,+
T001938,---,T170367,0.380102991625973,+
T001939,---,T038674,0.230722634091129,+
