transcript,gene_name,coords,entrezgene_id,hgnc_id,uniprot_id,description,type,rank,Frel,TID
p1@U2AF1,U2AF1,?,e:7307,h:12453,u:Q701P4;Q71RF1;F8WDB0;Q7Z780;Q01081;Q69YM7,U2 small nuclear RNA auxiliary factor 1,gene with protein product,0,1,T105641
p1@C1orf135,AUNIP,chr1:26185844..26185954;-,e:79000,h:28363,u:Q9H7T9;u:C9EI59,aurora kinase A and ninein interacting protein,gene with protein product,1,1,T092609
p1@SCARB2,SCARB2,chr4:77134970..77134985;-,e:950,h:1665,u:Q14108,scavenger receptor class B member 2,gene with protein product,2,1,T145731
p2@TCP11L1,TCP11L1,chr11:33061543..33061585;+,e:55346,h:25655,u:Q9NUJ3;u:E9PS88,t-complex 11 like 1,gene with protein product,3,1,T013618
p1@ZMAT3,ZMAT3,chr3:178789566..178789620;-,e:64393,h:29983,,zinc finger matrin-type 3,gene with protein product,4,1,T131936
p1@ALYREF,ALYREF,chr17:79849438..79849493;-,e:10189,h:19071,u:Q86V81;u:E9PB61,Aly/REF export factor,gene with protein product,5,0.999,T064958
p1@PPM1G,PPM1G,chr2:27632390..27632486;-,e:5496,h:9278,u:O15355,protein phosphatase; Mg2+/Mn2+ dependent 1G,gene with protein product,6,0.999,T121697
p1@PRPF38A,PRPF38A,chr1:52870263..52870294;+,e:84950,h:25930,,pre-mRNA processing factor 38A,gene with protein product,7,0.999,T095314
p1@FUS,FUS,chr16:31191456..31191463;+,e:2521,h:4010,u:A6NMX6;u:B4DR70,FUS RNA binding protein,gene with protein product,8,0.999,T051165
p1@SNRPA1,SNRPA1,chr15:101835414..101835462;-,e:6627,h:11152,u:P09661;u:O95485,small nuclear ribonucleoprotein polypeptide A',gene with protein product,9,0.999,T042191
p1@HNRNPD,HNRNPD,chr4:83295103..83295157;-,e:3184,h:5036,u:Q14103;u:D6RD83;u:D6RBP9;u:F5H6R6,heterogeneous nuclear ribonucleoprotein D,gene with protein product,10,0.999,T146273
p1@CHAF1B,CHAF1B,chr21:37757668..37757731;+,e:8208,h:1911,u:Q13112,chromatin assembly factor 1 subunit B,gene with protein product,11,0.999,T104950
p1@ILF2,ILF2,chr1:153643442..153643475;-,e:3608,h:6037,,interleukin enhancer binding factor 2,gene with protein product,12,0.999,T082876
p1@KCMF1,KCMF1,chr2:85198231..85198305;+,e:56888,h:20589,u:Q9P0J7,potassium channel modulatory factor 1,gene with protein product,13,0.999,T125629
