Hs-MFSD2A,2000,1000,T094283-MFSD2A,"p1@MFSD2A"
rank,TID,Fabs,Frel,coords,transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T032201,2004,1.0000,"chr13:27745913..27745924,-",p2@USP12,e:219333,h:20485,,USP12,"ubiquitin specific peptidase 12","gene with protein product"
2,T054717,2008,1.0000,"chr16:85932760..85932775,+",p1@IRF8,e:3394,h:5358,u:Q02556,IRF8,"interferon regulatory factor 8","gene with protein product"
3,T009515,2007,1.0000,"chr11:109963515..109963534,+",p1@ZC3H12C,e:85463,h:29362,,ZC3H12C,"zinc finger CCCH-type containing 12C","gene with protein product"
4,T088658,2012,0.9990,"chr1:206808868..206808911,+",p1@DYRK3,e:8444,h:3094,u:O43781,DYRK3,"dual specificity tyrosine phosphorylation regulated kinase 3","gene with protein product"
5,T025683,2009,0.9990,"chr12:50101052..50101084,-",p2@FMNL3,e:91010,h:23698,u:F8W1F5,FMNL3,"formin like 3","gene with protein product"
6,T009516,2006,0.9990,"chr11:109963536..109963580,+",p2@ZC3H12C,e:85463,h:29362,,ZC3H12C,"zinc finger CCCH-type containing 12C","gene with protein product"
7,T095006,2004,0.9990,"chr1:47082476..47082491,-",p3@MKNK1,e:8569,h:7110,"u:E9PSE0,u:B4E1V9",MKNK1,"MAP kinase interacting serine/threonine kinase 1","gene with protein product"
8,T150659,2005,0.9985,"chr5:149782735..149782776,-",p4@CD74,e:972,h:1697,u:O78208,CD74,"CD74 molecule","gene with protein product"
9,T162363,2003,0.9980,"chr6:18387686..18387739,+",p1@RNF144B,e:255488,h:21578,,RNF144B,"ring finger protein 144B","gene with protein product"
10,T179145,2006,0.9970,"chr8:101734085..101734133,-",p2@PABPC1,e:26986,h:8554,u:E7ERJ7,PABPC1,"poly(A) binding protein cytoplasmic 1","gene with protein product"
11,T069179,2002,0.9965,"chr18:8609402..8609486,+",p1@RAB12,e:201475,h:31332,u:Q6IQ22,RAB12,"RAB12, member RAS oncogene family","gene with protein product"
12,T152167,2001,0.9965,"chr5:171710747..171710814,-",p1@UBTD2,e:92181,h:24463,"u:B3KMW8,u:Q8WUN7",UBTD2,"ubiquitin domain containing 2","gene with protein product"
13,T100447,2001,0.9965,"chr20:35974532..35974551,+",p1@SRC,e:6714,h:11283,,SRC,"SRC proto-oncogene, non-receptor tyrosine kinase","gene with protein product"
14,T178190,2000,0.9960,"chr7:92462802..92462827,-",p4@CDK6,e:1021,h:1777,u:Q00534,CDK6,"cyclin dependent kinase 6","gene with protein product"
15,T137169,1994,0.9960,"chr3:69591716..69591725,-",p48@FRMD4B,e:23150,h:24886,,FRMD4B,"FERM domain containing 4B","gene with protein product"
16,T143568,1998,0.9945,"chr4:37978938..37978963,+",p4@TBC1D1,e:23216,h:11578,u:C9JIE2,TBC1D1,"TBC1 domain family member 1","gene with protein product"
17,T133266,1997,0.9945,"chr3:194207409..194207484,-",p3@ATP13A3,e:79572,h:24113,u:C9J7Z7,ATP13A3,"ATPase 13A3","gene with protein product"
18,T019641,1997,0.9935,"chr11:93861993..93862102,+",p1@PANX1,e:24145,h:8599,u:Q96RD7,PANX1,"pannexin 1","gene with protein product"
19,T119028,1995,0.9935,"chr2:219646861..219646879,+",p1@CYP27A1,e:1593,h:2605,u:F8WD90,CYP27A1,"cytochrome P450 family 27 subfamily A member 1","gene with protein product"
20,T163631,1992,0.9925,"chr6:30653819..30653835,-",p10@PPP1R18,e:170954,h:29413,,PPP1R18,"protein phosphatase 1 regulatory subunit 18","gene with protein product"
21,T099897,1991,0.9925,"chr20:32399211..32399222,+",p3@CHMP4B,e:128866,h:16171,,CHMP4B,"charged multivesicular body protein 4B","gene with protein product"
22,T009518,1989,0.9920,"chr11:109963653..109963664,+",p6@ZC3H12C,e:85463,h:29362,,ZC3H12C,"zinc finger CCCH-type containing 12C","gene with protein product"
23,T145164,1992,0.9915,"chr4:71570430..71570536,+",p2@RUFY3,e:22902,h:30285,,RUFY3,"RUN and FYVE domain containing 3","gene with protein product"
24,T110007,1989,0.9915,"chr22:50354067..50354081,+",p6@PIM3,e:415116,h:19310,u:Q86V86,PIM3,"Pim-3 proto-oncogene, serine/threonine kinase","gene with protein product"
25,T032202,1987,0.9910,"chr13:27745936..27745961,-",p1@USP12,e:219333,h:20485,,USP12,"ubiquitin specific peptidase 12","gene with protein product"
26,T173053,1990,0.9905,"chr7:155089580..155089595,+",p1@INSIG1,e:3638,h:6083,u:A4D2N1,INSIG1,"insulin induced gene 1","gene with protein product"
27,T051108,1988,0.9895,"chr16:31044956..31044972,+",p3@STX4,e:6810,h:11439,,STX4,"syntaxin 4","gene with protein product"
28,T009519,1988,0.9891,"chr11:109963681..109963715,+",p5@ZC3H12C,e:85463,h:29362,,ZC3H12C,"zinc finger CCCH-type containing 12C","gene with protein product"
29,T011750,1986,0.9890,"chr11:130029696..130029745,+",p2@ST14,e:6768,h:11344,u:E9PNS7,ST14,"suppression of tumorigenicity 14","gene with protein product"
30,T009561,1985,0.9890,"chr11:110300693..110300720,+",p3@FDX1,e:2230,h:3638,u:P10109,FDX1,"ferredoxin 1","gene with protein product"
