,v1,gene_symbol,v3,group,subgroup,pathway_or_family,full_name,gene_name_synonym(s),type,reaction_EC,Vitisnet_Network1,Vitisnet_Network2
8578,VIT_05s0094g00580,VviSAD5,Vitvi05g01605,Soluble desaturases,,,acyl-ACP Delta9 desaturase,,,E1_14_19_1,vv11040Biosynthesis_of_unsaturated_fatty_acids,
8586,VIT_05s0094g00730,VviSAD4,Vitvi05g01619,Soluble desaturases,,,acyl-ACP Delta9 desaturase,,,E1_14_19_2,vv11040Biosynthesis_of_unsaturated_fatty_acids,
8588,VIT_05s0094g00750,VviSAD1,Vitvi05g01621,Soluble desaturases,,,acyl-ACP Delta9 desaturase,,,E1_14_19_1,vv11040Biosynthesis_of_unsaturated_fatty_acids,
12165,VIT_00s0499g00030,VviSAD2,Vitvi07g02982,Soluble desaturases,,,acyl-ACP Delta9 desaturase,,,E1_14_19_1,vv11040Biosynthesis_of_unsaturated_fatty_acids,
26298,VIT_18s0001g15460,VviSAD3,Vitvi18g01231,Soluble desaturases,,,acyl-ACP Delta9 desaturase,,,E1_14_19_2,vv11040Biosynthesis_of_unsaturated_fatty_acids,
9155,VIT_06s0004g01250,VviFAD2.2,Vitvi06g00119,Membrane-bound fatty acid desaturases,,,acyl-lipid Delta12/Omega6 desaturase,,,K10256,vv11040Biosynthesis_of_unsaturated_fatty_acids,
13736,VIT_08s0007g06450,VviFAD2.1,Vitvi08g02345,Membrane-bound fatty acid desaturases,,,acyl-lipid Delta12/Omega6 desaturase,,,K10256,vv11040Biosynthesis_of_unsaturated_fatty_acids,
17031,VIT_11s0016g00120,VviFAD6,Vitvi11g00672,Membrane-bound fatty acid desaturases,,,acyl-lipid Delta12/Omega6 desaturase ,,,K10255,vv11040Biosynthesis_of_unsaturated_fatty_acids,
9524,VIT_06s0004g06720,VviFAD3.2,Vitvi06g00654,Membrane-bound fatty acid desaturases,,,acyl-lipid Delta15/Omega3 desaturase,,,K10257,vv11040Biosynthesis_of_unsaturated_fatty_acids,
9525,VIT_06s0004g06730,VviFAD3.1,Vitvi06g00656,Membrane-bound fatty acid desaturases,,,acyl-lipid Delta15/Omega3 desaturase,,,K10257,vv11040Biosynthesis_of_unsaturated_fatty_acids,
