Hs-MFSD2A,2000,1000,T094283-MFSD2A,"p1@MFSD2A"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T032201,2004,1.0000,p2@USP12,219333,20485,,USP12,"ubiquitin specific peptidase 12","gene with protein product"
2,T054717,2008,1.0000,p1@IRF8,3394,5358,Q02556,IRF8,"interferon regulatory factor 8","gene with protein product"
3,T009515,2007,1.0000,p1@ZC3H12C,85463,29362,,ZC3H12C,"zinc finger CCCH-type containing 12C","gene with protein product"
4,T088658,2012,0.9990,p1@DYRK3,8444,3094,O43781,DYRK3,"dual specificity tyrosine phosphorylation regulated kinase 3","gene with protein product"
5,T025683,2009,0.9990,p2@FMNL3,91010,23698,F8W1F5,FMNL3,"formin like 3","gene with protein product"
6,T009516,2006,0.9990,p2@ZC3H12C,85463,29362,,ZC3H12C,"zinc finger CCCH-type containing 12C","gene with protein product"
7,T095006,2004,0.9990,p3@MKNK1,8569,7110,"E9PSE0,B4E1V9",MKNK1,"MAP kinase interacting serine/threonine kinase 1","gene with protein product"
8,T150659,2005,0.9985,p4@CD74,972,1697,O78208,CD74,"CD74 molecule","gene with protein product"
9,T162363,2003,0.9980,p1@RNF144B,255488,21578,,RNF144B,"ring finger protein 144B","gene with protein product"
10,T179145,2006,0.9970,p2@PABPC1,26986,8554,E7ERJ7,PABPC1,"poly(A) binding protein cytoplasmic 1","gene with protein product"
11,T069179,2002,0.9965,p1@RAB12,201475,31332,Q6IQ22,RAB12,"RAB12, member RAS oncogene family","gene with protein product"
12,T152167,2001,0.9965,p1@UBTD2,92181,24463,"B3KMW8,Q8WUN7",UBTD2,"ubiquitin domain containing 2","gene with protein product"
13,T100447,2001,0.9965,p1@SRC,6714,11283,,SRC,"SRC proto-oncogene, non-receptor tyrosine kinase","gene with protein product"
14,T178190,2000,0.9960,p4@CDK6,1021,1777,Q00534,CDK6,"cyclin dependent kinase 6","gene with protein product"
15,T137169,1994,0.9960,p48@FRMD4B,23150,24886,,FRMD4B,"FERM domain containing 4B","gene with protein product"
16,T143568,1998,0.9945,p4@TBC1D1,23216,11578,C9JIE2,TBC1D1,"TBC1 domain family member 1","gene with protein product"
17,T133266,1997,0.9945,p3@ATP13A3,79572,24113,C9J7Z7,ATP13A3,"ATPase 13A3","gene with protein product"
18,T019641,1997,0.9935,p1@PANX1,24145,8599,Q96RD7,PANX1,"pannexin 1","gene with protein product"
19,T119028,1995,0.9935,p1@CYP27A1,1593,2605,F8WD90,CYP27A1,"cytochrome P450 family 27 subfamily A member 1","gene with protein product"
20,T163631,1992,0.9925,p10@PPP1R18,170954,29413,,PPP1R18,"protein phosphatase 1 regulatory subunit 18","gene with protein product"
21,T099897,1991,0.9925,p3@CHMP4B,128866,16171,,CHMP4B,"charged multivesicular body protein 4B","gene with protein product"
22,T009518,1989,0.9920,p6@ZC3H12C,85463,29362,,ZC3H12C,"zinc finger CCCH-type containing 12C","gene with protein product"
23,T145164,1992,0.9915,p2@RUFY3,22902,30285,,RUFY3,"RUN and FYVE domain containing 3","gene with protein product"
24,T110007,1989,0.9915,p6@PIM3,415116,19310,Q86V86,PIM3,"Pim-3 proto-oncogene, serine/threonine kinase","gene with protein product"
25,T032202,1987,0.9910,p1@USP12,219333,20485,,USP12,"ubiquitin specific peptidase 12","gene with protein product"
26,T173053,1990,0.9905,p1@INSIG1,3638,6083,A4D2N1,INSIG1,"insulin induced gene 1","gene with protein product"
27,T051108,1988,0.9895,p3@STX4,6810,11439,,STX4,"syntaxin 4","gene with protein product"
28,T009519,1988,0.9891,p5@ZC3H12C,85463,29362,,ZC3H12C,"zinc finger CCCH-type containing 12C","gene with protein product"
29,T011750,1986,0.9890,p2@ST14,6768,11344,E9PNS7,ST14,"suppression of tumorigenicity 14","gene with protein product"
30,T009561,1985,0.9890,p3@FDX1,2230,3638,P10109,FDX1,"ferredoxin 1","gene with protein product"
31,T186318,1991,0.9886,p12@MSC,9242,7321,O60682,MSC,musculin,"gene with protein product"
32,T009517,1977,0.9875,p4@ZC3H12C,85463,29362,,ZC3H12C,"zinc finger CCCH-type containing 12C","gene with protein product"
33,T160491,1982,0.9871,p3@TAB2,23118,17075,,TAB2,"TGF-beta activated kinase 1/MAP3K7 binding protein 2","gene with protein product"
34,T137171,1981,0.9866,p10@FRMD4B,23150,24886,C9JA15,FRMD4B,"FERM domain containing 4B","gene with protein product"
35,T028939,1981,0.9866,p3@RAB21,23011,18263,Q9UL25,RAB21,"RAB21, member RAS oncogene family","gene with protein product"
