Vv_m2,2000,1000,VIT_15s0048g01240
rank,V1_geneId,Fabs,Frel,gene_symbol,v3,group,subgroup,pathway_or_family,full_name,gene_name_synonym(s),type,reaction_EC,Vitisnet_Network1,Vitisnet_Network2
1,VIT_15s0048g01250,2060,1.0000,SOC1a,Vitvi15g00774,MADS_SOC,MADS_SOC,MADS-box,putative MADS-box Supressor of Constans overexpression 1a,SOC1a2,TF,,,,,
2,VIT_03s0167g00070,2079,1.0000,SVP5,Vitvi03g01320,MADS_SVP,MADS_SVP,MADS-box,putative MADS-box Short Vegetal Phase 5,,TF,,,,,
3,VIT_12s0142g00360,2070,1.0000,AG1,Vitvi12g00019,MADS_AG,MADS_AG,MADS-box,putative MADS-box Agamous 1,,TF,,vv60042MADS,,,
4,VIT_16s0022g02400,2055,1.0000,SOC1b,Vitvi16g00898,MADS_SOC,MADS_SOC,MADS-box,putative MADS-box Supressor of Constans overexpression 1b,SOC1b2,TF,,,,,
5,VIT_00s0228g00060,2077,0.9995,,,,,,Unknown,,,,,,,
6,VIT_03s0017g00450,2057,0.9995,SVPS2,Vitvi03g01317,MADS_SVP,MADS_SVP,MADS-box,putative MADS-box JOIN 2,,TF,,vv30009Flower_development,vv60042MADS,,
7,VIT_15s0024g01860,2074,0.9986,SVPS4,Vitvi15g01214,MADS_SVP,MADS_SVP,MADS-box,putative MADS-box JOIN 4,,TF,,vv30009Flower_development,vv60042MADS,,
8,VIT_02s0025g04650,2063,0.9957,SOC1c,Vitvi02g00427,MADS_SOC,MADS_SOC,MADS-box,putative MADS-box Supressor of Constans overexpression 1c,,TF,,vv60042MADS,,,
9,VIT_18s0001g11800,2056,0.9952,VviHB66,Vitvi18g00902,HB,BEL,,BEL1-like homeodomain protein 4 (SAWTOOTH 2),,TF,BLH4,vv60034HB,,,
10,VIT_03s0017g00360,2044,0.9932,SVP4,Vitvi03g01059,MADS_SVP,MADS_SVP,MADS-box,putative MADS-box Short Vegetal Phase 4,,TF,,vv30009Flower_development,vv60042MADS,,
11,VIT_11s0052g01630,2047,0.9927,GT6,Vitvi11g01294,UGT,Flavonol GT,Flavonoid Pathway (Flavonols),flavonol glucosyltransferase,,Enzyme,,vv10942Anthocyanin_biosynthesis,,,
12,VIT_03s0167g00100,2049,0.9923,,,,,,MADS-box protein SVP (short vegetative phase),,,SVP_6,vv30009Flower_development,vv60042MADS,,
13,VIT_10s0003g01950,2045,0.9889,,Vitvi10g01807,,,,No hit,,,,,,,
14,VIT_07s0129g00430,2020,0.9777,,Vitvi07g01622,,,,Acyl-CoA binding protein,,,,,,,
15,VIT_04s0008g00900,2015,0.9734,,Vitvi04g00076,,,,MYB divaricata,,,DIVARICATA_10,vv30009Flower_development,vv60044MYB,,
16,VIT_01s0010g03900,2001,0.9695,VviSEP3,Vitvi01g01677,MADS_SEP,MADS_SEP,MADS-box,putative MADS-box sepallata 3,,TF,,vv30009Flower_development,vv60042MADS,,
17,VIT_16s0022g02380,2006,0.9691,,Vitvi16g00898,,,,MADS-box agamous-like 42,,,AGL42_2,vv60042MADS,,,
18,VIT_18s0001g07460,2001,0.9681,SVP2,Vitvi18g00517,MADS_SVP,MADS_SVP,MADS-box,putative MADS-box Short Vegetal Phase 2,,TF,,vv30009Flower_development,vv60042MADS,,
19,VIT_13s0158g00400,1994,0.9670,,Vitvi13g01605,,,,R protein MLA10,,,K13475,vv34627R_proteins_from_Plant-pathogen_interaction,,,
20,VIT_18s0001g01390,1973,0.9629,VviGA20ox6,Vitvi18g00204,,,GA,Gibberellin 20-oxidase_6,,Enzyme,,vv10904Diterpenoid_biosynthesis,,,
21,VIT_17s0000g06930,1977,0.9611,bHLH079,Vitvi17g00678,bHLH,bHLH,bHLH,,PIF7,TF,,vv60011BHLH,,,
22,VIT_04s0023g02820,1983,0.9598,AP3b,Vitvi04g01404,MADS_AP3,MADS_AP3,MADS-box,putative MADS-box Apetala 3b,TM6,TF,,vv30008Ethylene_signaling,vv30009Flower_development,,
23,VIT_18s0001g08380,1980,0.9551,VviHB63,Vitvi18g00602,HB,KNOX,,Homeobox protein knotted-1 like 1 (KNAT1),,TF,KNAT1_1,vv60034HB,,,
24,VIT_08s0058g01130,1976,0.9523,,Vitvi08g00843,,,,WNK5 (Arabidopsis WNK kinase 5),,,,,,,
25,VIT_18s0001g11810,1959,0.9519,,,,,,BEL1 homeobox 2 protein (BLH2) (SAWTOOTH 1),,,BLH2_2,vv60034HB,,,
26,VIT_03s0017g00440,1954,0.9467,SVPS1,Vitvi03g01067,MADS_SVP,MADS_SVP,MADS-box,putative MADS-box JOIN 1,,TF,,vv30009Flower_development,vv60042MADS,,
27,VIT_15s0107g00120,1956,0.9458,SVP3,Vitvi15g00225,MADS_SVP,MADS_SVP,MADS-box,putative MADS-box Short Vegetal Phase 3,,TF,,vv30009Flower_development,vv60042MADS,,
