Hs-U2AF1,2000,1000,T105641-U2AF1,"p1@U2AF1"
"rank","TID","Fabs","Frel","coords","transcript","entrezgene_id","hgnc_id","uniprot_id","gene_name","description","type"
1,"T092609",2004,1,"chr1:26185844..26185954,-","p1@C1orf135","e:79000","h:28363","u:Q9H7T9,u:C9EI59","AUNIP","aurora kinase A and ninein interacting protein","gene with protein product"
2,"T145731",2010,1,"chr4:77134970..77134985,-","p1@SCARB2","e:950","h:1665","u:Q14108","SCARB2","scavenger receptor class B member 2","gene with protein product"
3,"T013618",2007,1,"chr11:33061543..33061585,+","p2@TCP11L1","e:55346","h:25655","u:Q9NUJ3,u:E9PS88","TCP11L1","t-complex 11 like 1","gene with protein product"
4,"T131936",2010,1,"chr3:178789566..178789620,-","p1@ZMAT3","e:64393","h:29983",NA,"ZMAT3","zinc finger matrin-type 3","gene with protein product"
5,"T064958",2009,0.999,"chr17:79849438..79849493,-","p1@ALYREF","e:10189","h:19071","u:Q86V81,u:E9PB61","ALYREF","Aly/REF export factor","gene with protein product"
6,"T121697",2009,0.999,"chr2:27632390..27632486,-","p1@PPM1G","e:5496","h:9278","u:O15355","PPM1G","protein phosphatase, Mg2+/Mn2+ dependent 1G","gene with protein product"
7,"T095314",2008,0.999,"chr1:52870263..52870294,+","p1@PRPF38A","e:84950","h:25930",NA,"PRPF38A","pre-mRNA processing factor 38A","gene with protein product"
8,"T051165",2007,0.999,"chr16:31191456..31191463,+","p1@FUS","e:2521","h:4010","u:A6NMX6,u:B4DR70","FUS","FUS RNA binding protein","gene with protein product"
9,"T042191",2006,0.999,"chr15:101835414..101835462,-","p1@SNRPA1","e:6627","h:11152","u:P09661,u:O95485","SNRPA1","small nuclear ribonucleoprotein polypeptide A'","gene with protein product"
10,"T146273",2006,0.999,"chr4:83295103..83295157,-","p1@HNRNPD","e:3184","h:5036","u:Q14103,u:D6RD83,u:D6RBP9,u:F5H6R6","HNRNPD","heterogeneous nuclear ribonucleoprotein D","gene with protein product"
